 0	6.366197723675813824328884038550313562154770000e-01
 1	3.183098861837906912164442019275156781077385000e-01
 2	1.893037484509927183192476776718571329638507000e-01
 3	1.248006795845937318638731519659934576793603000e-01
 4	8.814412785195930479377295074794318452404696000e-02
 5	6.541083468620715745019122966397162599605508000e-02
 6	5.038386523132862580614740877216206627053907000e-02
 7	3.995475205931937776005977158710891217197059000e-02
 8	3.243252592779296775019406973150637440994615000e-02
 9	2.683496668717189404039340228091958806544426000e-02
10	2.256071378745934760028449272972750350163551000e-02
11	1.922532153162508024345569990209980915096821000e-02
12	1.657396051528715514330851454882775897203828000e-02
13	1.443244215954173593975846945358654238589224000e-02
14	1.267850612064244086580992731949635299315560000e-02
15	1.122434046837797886665179236675982110682526000e-02
16	1.000558691336278477985663459826071175484685000e-02
17	8.974224557694210954034153004954532661940902000e-03
18	8.093845999740779348927480207898099706653738000e-03
19	7.336449559252959223267995247930173263739562000e-03
20	6.680224557026817047353239864548868354177102000e-03
21	6.108029891947495715635516044805797264416469000e-03
22	5.605990472859968614619680105093380007019732000e-03
23	5.160240086090892599980303745432763662392972000e-03
24	4.770800394582527386181866613235058594000293000e-03
25	4.604906142969750838843737139605138963815989000e-03
26	4.110843298508727675913063115409329384419834000e-03
27	-9.225441575441670899460078203446755651384592000e-03
28	3.424161551344952821463590852957281640556175000e-03
29	1.077312806141941280645667189386216477942071000e+00
30	1.647199799636755204431184940183641174371587000e-02
31	-1.011954761781715888269150838141285930760205000e+02
32	-1.337300749090816561598892009410377568201511000e+00
33	1.082774547934337636867496712511638179421425000e+04
34	1.523458258334576036624463668545104155782610000e+02
35	-1.305524867582714899867823987733572721481323000e+06
36	-1.944886452959717562727348649787018075585365000e+04
37	1.761933970291485254419967532157897949218750000e+08
38	2.770638574651286453672582865692675113677979000e+06
39	-2.645684708145298551395535469055175781250000000e+10
40	-4.379300322145993646408896893262863159179688000e+08
