#    x              y                    z                 y-z
  -2.00      3.762195691083631   3.59006290731878    0.172189400351754
  -1.93750   3.542719740149245   3.426317488589288   0.116402251559957
  -1.87500   3.337087043587521   3.267825156355987   0.069261887231534
  -1.81250   3.144494087167972   3.114529294031975   0.029964793135997
  -1.75000   2.964188309728088   2.966429901617251  -0.002241591889163
  -1.68750   2.795465162524236   2.823526979111815  -0.028061816587579
  -1.62500   2.637665356192138   2.685820526515669  -0.048155170323531
  -1.56250   2.490172284559350   2.553310543828811  -0.063138259269460
  -1.50      2.352409615243247   2.425997031051241  -0.073587415807994
  -1.43750   2.223839037619709   2.303879988182960  -0.080040950563251
  -1.37500   2.103958159362662   2.186959415223967  -0.083001255861305
  -1.31250   1.992298543335144   2.075235312174264  -0.082936768839120
  -1.25000   1.888423877161016   1.968707679033848  -0.080283801872832
  -1.18750   1.791928268324866   1.867376515802721  -0.075448247477855
  -1.12500   1.702434658138190   1.771241822480883  -0.068807164342692
  -1.06250   1.619593348374368   1.680303599068333  -0.060710250693965
  -1.00      1.543080634815244   1.594561845565072  -0.051481210749828
  -0.93750   1.472597542369863   1.514016561971099  -0.041419019601236
  -0.87500   1.407868656822803   1.438667748286415  -0.030799091463612
  -0.81250   1.348641048647144   1.368515404511020  -0.019874355863875
  -0.75000   1.294683284676845   1.303559530644913  -0.008876245968068
  -0.68750   1.245784523776616   1.243800126688094   0.001984397088522
  -0.62500   1.201753692975606   1.189237192640564   0.012516500335042
  -0.56250   1.162418740845611   1.139870728502323   0.022548012343288
  -0.50      1.127625965206381   1.095700734273370   0.031925230933010
  -0.43750   1.097239412531013   1.056727209953706   0.040512202577307
  -0.37500   1.071140346704587   1.022950155543331   0.048190191161256
  -0.31250   1.049226785060219   0.994369571042243   0.054857214017976
  -0.25000   1.031413099879573   0.970985456450445   0.060427643429128
  -0.18750   1.017629683800691   0.952797811767935   0.064831872032756
  -0.12500   1.007822677825711   0.939806636994713   0.068016040830997
  -0.06250   1.001953760865668   0.932011932130781   0.069941828734887
   0         1.00                0.929413697176136   0.070586302823864
   0.06250   1.001953760865668   0.932011932130781   0.069941828734887
   0.12500   1.007822677825711   0.939806636994713   0.068016040830998
   0.18750   1.017629683800691   0.952797811767935   0.064831872032756
   0.25000   1.031413099879573   0.970985456450445   0.060427643429128
   0.31250   1.049226785060219   0.994369571042243   0.054857214017976
   0.37500   1.071140346704587   1.022950155543330   0.048190191161257
   0.43750   1.097239412531013   1.056727209953706   0.040512202577307
   0.50      1.127625965206381   1.095700734273370   0.031925230933011
   0.56250   1.162418740845611   1.139870728502323   0.022548012343288
   0.62500   1.201753692975606   1.189237192640564   0.012516500335042
   0.68750   1.245784523776616   1.243800126688094   0.001984397088522
   0.75000   1.294683284676845   1.303559530644912  -0.008876245968067
   0.81250   1.348641048647144   1.368515404511019  -0.019874355863875
   0.87500   1.407868656822803   1.438667748286415  -0.030799091463612
   0.93750   1.472597542369863   1.514016561971099  -0.041419019601236
   1.00      1.543080634815244   1.594561845565071  -0.051481210749827
   1.06250   1.619593348374368   1.680303599068333  -0.060710250693965
   1.12500   1.702434658138190   1.771241822480882  -0.068807164342692
   1.18750   1.791928268324866   1.867376515802721  -0.075448247477854
   1.25000   1.888423877161016   1.968707679033847  -0.080283801872831
   1.31250   1.992298543335144   2.075235312174263  -0.082936768839119
   1.37500   2.103958159362662   2.186959415223967  -0.083001255861305
   1.43750   2.223839037619709   2.303879988182959  -0.080040950563250
   1.50      2.352409615243247   2.425997031051240  -0.073587415807993
   1.56250   2.490172284559350   2.553310543828810  -0.063138259269460
   1.62500   2.637665356192138   2.685820526515668  -0.048155170323530
   1.68750   2.795465162524236   2.823526979111815  -0.028061816587579
   1.75000   2.964188309728088   2.966429901617250  -0.002241591889162
   1.81250   3.144494087167972   3.114529294031974   0.029964793135998
   1.87500   3.337087043587521   3.267825156355986   0.069261887231534
   1.93750   3.542719740149245   3.426317488589287   0.116402251559958
   2.00      3.762195691083631   3.59006290731877    0.172189400351755
